Company,Symbol,Sector,SecurityId,1Y Return %,6M Return %,1M Return %,1W Return %,1D Return %,PDH,PDL,PDC,Trend
360 ONE WAM Ltd.,360ONE,Financial Services,13061,15.411059817306747,9.332837070810454,3.496873073196516,-1.2439065389140995,-2.083333333333333,1208.0,1193.9,1200.0,MIXED
3M India Ltd.,3MINDIA,Diversified,474,8.322496749024708,-6.601261387526279,-3.741152679474216,-1.667404456249078,-3.181752142960918,34840.0,34130.0,34415.0,MIXED
ABB India Ltd.,ABB,Capital Goods,13,52.80056011202241,27.670065184689957,4.8596334683231515,1.7923773987206824,1.724597150086563,7529.0,7440.0,7509.0,BULLISH
ACC Ltd.,ACC,Construction Materials,22,-29.154179154179154,-17.814833891321147,-5.959923382937976,-1.8756245676070482,-2.2887323943662037,1314.0,1303.0,1306.4,BEARISH
ACME Solar Holdings Ltd.,ACMESOLAR,Power,27061,41.2333099086437,73.0454623729981,10.852178709321556,-1.7597458144934595,2.095504191008382,398.0,388.05,393.7,MIXED
AIA Engineering Ltd.,AIAENG,Capital Goods,13086,39.302424500212666,13.870389686806279,-7.264212589849706,-0.439632392488838,0.5502810448254731,4260.7,4192.2,4234.2,MIXED
APL Apollo Tubes Ltd.,APLAPOLLO,Capital Goods,25780,38.55549323861158,0.049498267560631276,22.19840615553724,3.655011655011659,-1.8626412429378452,2278.4,2182.5,2265.6,BULLISH
AU Small Finance Bank Ltd.,AUBANK,Financial Services,21238,51.27080286888101,14.186596583442842,3.7143129953213108,-2.4955116696588826,0.8448612013740727,1094.3,1073.3,1077.1,MIXED
AWL Agri Business Ltd.,AWL,Fast Moving Consumer Goods,8110,-23.439363817097412,6.800155305341406,1.6416807432432505,-0.6859913348462885,-1.8953482447648642,199.74,195.3,196.27,MIXED
Aadhar Housing Finance Ltd.,AADHARHFC,Financial Services,23729,-6.929118202604625,3.4246575342465753,-5.758002818602772,0.35373566298639386,-0.6368074718743366,472.45,463.2,471.1,MIXED
Aarti Industries Ltd.,AARTIIND,Chemicals,7,39.431002392980574,21.122531470146665,7.217337967695759,-3.452085059375863,-2.9517905061534275,543.0,528.0,540.35,MIXED
Aavas Financiers Ltd.,AAVAS,Financial Services,5385,-17.037231943165374,1.701475687444572,-7.2510663332843,-5.619995509990265,-1.1211289690317487,1333.8,1264.1,1275.5,MIXED
Abbott India Ltd.,ABBOTINDIA,Healthcare,17903,-17.884371029224905,-3.562768140272337,-7.014388489208632,-2.157456472369417,-1.241642788920726,26745.0,26120.0,26175.0,BEARISH
Action Construction Equipment Ltd.,ACE,Capital Goods,13587,5.410536307546274,28.08535178777393,3.75595627394189,-4.857779300891025,-2.638961949850948,1154.1,1132.0,1140.6,MIXED
Acutaas Chemicals Ltd.,ACUTAAS,Healthcare,5578,124.79374110953059,44.194534422190785,1.7939386131598383,-0.3907973526630977,-3.687225743539737,3384.0,3235.0,3281.6,MIXED
Adani Energy Solutions Ltd.,ADANIENSOL,Power,10217,85.48714257671925,45.77805204155098,-13.856812933025402,-8.854736029837298,-10.370557733653724,1611.9,1566.9,1581.4,MIXED
Adani Enterprises Ltd.,ADANIENT,Metals & Mining,25,31.379784120098698,34.57121340487621,-4.997507891676362,-4.652171013139466,-9.764872968281523,3173.7,3133.3,3168.5,MIXED
Adani Green Energy Ltd.,ADANIGREEN,Power,3563,32.99397920087576,34.45852470809586,-12.154736080983362,-7.117737003058097,-7.330282227307391,1321.0,1303.2,1311.0,MIXED
Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Services,15083,21.35131017672151,8.352036999251851,-6.094901267315065,-4.724597811135698,-6.699853587115672,1723.9,1699.2,1707.5,MIXED
Adani Power Ltd.,ADANIPOWER,Power,17388,64.82144343627738,43.50945857795173,-6.298802706923478,-2.798232695139906,-6.880496637351266,216.5,210.91,212.63,MIXED
Adani Total Gas Ltd.,ATGL,Oil Gas & Consumable Fuels,6066,5.092200981221455,26.04240641168713,-4.6434876045744105,-2.8767979987492147,-2.403770620581297,645.15,635.0,636.5,MIXED
Aditya Birla Capital Ltd.,ABCAPITAL,Financial Services,21614,47.345690120568634,21.088435374149643,1.2614395251051114,-0.8476628723661904,0.9493280729872927,410.35,404.8,405.55,MIXED
Aditya Birla Fashion and Retail Ltd.,ABFRL,Consumer Services,30108,-32.64382676147382,-20.98877767667576,-13.512616201859231,-3.4291010194624674,-0.7429986664126511,54.0,52.21,52.49,BEARISH
Aditya Birla Lifestyle Brands Ltd.,ABLBL,Consumer Services,756843,-35.77512776831346,-13.9867076678901,-8.408154642442176,1.8559849641724402,2.494089834515366,85.64,84.4,84.6,MIXED
Aditya Birla Real Estate Ltd.,ABREL,Realty,625,-22.55170837618558,7.930567720359893,-4.414357238558629,-5.196530983354313,-2.2710886806056236,1406.2,1380.0,1387.0,MIXED
Aditya Birla Sun Life AMC Ltd.,ABSLAMC,Financial Services,6018,25.94898814513231,20.013692377909628,3.95335046451868,5.316911985581246,0.3721729172630846,1053.5,1038.1,1047.9,BULLISH
Aditya Infotech Ltd.,CPPLUS,Capital Goods,758858,182.12025316455694,104.64849354375896,5.160719551754644,4.284252083637958,-0.2963708550019546,3662.0,3552.0,3576.6,BULLISH
Aegis Logistics Ltd.,AEGISLOG,Oil Gas & Consumable Fuels,40,88.14252770958862,86.56044847680164,-1.2648344784509717,-5.732389116660461,-1.9233752132775075,1304.7,1283.6,1289.4,MIXED
Aegis Vopak Terminals Ltd.,AEGISVOPAK,Oil Gas & Consumable Fuels,757336,8.467530370908499,24.11675056574147,-7.378687620623113,-0.573436921938591,-0.4260837347165533,272.45,262.0,269.9,MIXED
Afcons Infrastructure Ltd.,AFCONS,Construction,25977,-31.629966491144096,0.4748505100246099,5.3475935828877015,2.512111968419164,-0.34885749171463465,292.0,284.0,286.65,MIXED
Affle 3i Ltd.,AFFLE,Information Technology,11343,-16.235059760956165,17.683016644572113,0.7503152585119855,-8.16666666666666,-1.376373287248485,1659.0,1615.9,1620.2,MIXED
Ajanta Pharmaceuticals Ltd.,AJANTPHARM,Healthcare,8124,45.37859218598645,21.365995013141042,3.9449382431028592,0.6145423056509958,1.262299690750635,3596.0,3541.6,3557.0,BULLISH
Alkem Laboratories Ltd.,ALKEM,Healthcare,11703,0.4902422928254926,-4.24901185770751,-7.337216378336087,-0.38317757009345793,-0.4761904761904762,5406.5,5316.0,5355.0,MIXED
Allied Blenders and Distillers Ltd.,ABDL,Fast Moving Consumer Goods,24308,22.358527898694106,31.29511677282377,-0.17756255044391003,1.3189153764233563,1.377049180327865,613.4,605.65,610.0,MIXED
Amara Raja Energy & Mobility Ltd.,ARE&M,Automobile and Auto Components,100,-9.856096945215857,8.27218145430286,-1.9550771596463363,-3.267230169050713,-3.1149943018396966,936.5,912.4,921.35,MIXED
Amber Enterprises India Ltd.,AMBER,Consumer Durables,1185,4.8503611971104235,-3.354683239266916,2.412472280088704,3.2800216860937925,-0.7166123778501629,7794.0,7655.0,7675.0,MIXED
Ambuja Cements Ltd.,AMBUJACEM,Construction Materials,1270,-28.773082386363647,-18.257768721344885,-7.184173993521521,-1.8593272171253876,-2.6453100351899126,413.5,410.0,412.05,BEARISH
Anand Rathi Wealth Ltd.,ANANDRATHI,Financial Services,7145,57.78660653566698,40.01588057805303,6.293099291122149,1.6744314774666602,-0.4156501310201623,2242.0,2182.0,2213.4,BULLISH
Anant Raj Ltd.,ANANTRAJ,Realty,13620,16.95555340369903,18.621096051856206,-3.2986389111289065,-1.7409697364139352,-0.37119524870081666,611.9,603.2,606.15,MIXED
Angel One Ltd.,ANGELONE,Financial Services,324,29.830753914381386,26.767408978437608,-3.7086759523410007,0.31468531468530675,-2.4149659863945656,297.7,291.65,294.0,MIXED
Anthem Biosciences Ltd.,ANTHEM,Healthcare,757885,9.168143756494104,29.917078847832414,10.362086010874927,1.0980924888209578,-0.7832463059660113,932.0,896.0,900.1,BULLISH
Anupam Rasayan India Ltd.,ANURAS,Chemicals,2829,11.77199504337051,3.7037037037036957,4.553734061930784,0.5814416567104703,0.19041574103458137,1269.0,1253.0,1260.4,BULLISH
Apar Industries Ltd.,APARINDS,Capital Goods,11491,128.94464562855666,65.53207406022068,23.37608028993588,5.968272972164023,-0.5673201145874291,17900.0,17485.0,17803.0,BULLISH
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,157,16.931668856767413,14.207790540974138,-0.6531204644412192,2.2581015858423354,0.6788482208519545,8905.0,8818.5,8838.5,MIXED
Apollo Tyres Ltd.,APOLLOTYRE,Automobile and Auto Components,163,-5.0302899177845095,-0.3292461398728403,2.5224804390984494,-1.547605696983298,-1.025930101465617,451.0,442.1,443.5,MIXED
Aptus Value Housing Finance India Ltd.,APTUS,Financial Services,5435,-21.64672544080605,4.4315749716731725,-4.728177641653903,-2.162374680558286,-2.8498926410306398,257.2,253.55,256.15,MIXED
Asahi India Glass Ltd.,ASAHIINDIA,Automobile and Auto Components,5378,13.840727011837858,11.893988364576591,8.61331355883863,-1.0497323702125472,-0.06822714390680076,968.1,944.0,952.7,MIXED
Ashok Leyland Ltd.,ASHOKLEY,Capital Goods,212,38.32099543235154,-15.965743265872447,5.6926224575761095,1.356108257833686,-0.07396028901406602,178.18,174.81,175.77,MIXED
Asian Paints Ltd.,ASIANPAINT,Consumer Durables,236,5.360120701977289,15.018854839408782,-3.4106213373130077,0.48470160557405817,1.7211637980603403,2645.0,2583.8,2608.7,MIXED
